Код,Валюта,Курс,Номинал,Изменение,Дата,Валюта (Код)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-08,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-08,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-08,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-08,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-07,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-07,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-07,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-07,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-07,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-07,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-07,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-07,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-07,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-07,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-07,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-07,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-07,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-07,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-07,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-07,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-07,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-07,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-07,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-07,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-07,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-07,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-07,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-07,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-07,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-07,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-07,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-07,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-07,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-07,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-07,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-07,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-07,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-07,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-06,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-06,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-06,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-06,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-06,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-06,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-06,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-06,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-06,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-06,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-06,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-06,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-06,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-06,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-06,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-06,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-06,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-06,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-06,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-06,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-06,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-06,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-06,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-06,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-06,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-06,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-06,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-06,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-06,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-06,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-06,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-06,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-06,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-06,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-05,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-05,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-05,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-05,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-05,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-05,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-05,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-05,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-05,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-05,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-05,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-05,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-05,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-05,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-05,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-05,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-05,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-05,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-05,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-05,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-05,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-05,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-05,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-05,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-05,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-05,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-05,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-05,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-05,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-05,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-05,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-05,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-05,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-05,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-04,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-04,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-04,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-04,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-04,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-04,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-04,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-04,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-04,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-04,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-04,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-04,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-04,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-04,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-04,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-04,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-04,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-04,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-04,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-04,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-04,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-04,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-04,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-04,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-04,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-04,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-04,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-04,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-04,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-04,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-04,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-04,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-04,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-04,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-03,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-03,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-03,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-03,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-03,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-03,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-03,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-03,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-03,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-03,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-03,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-03,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-03,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-03,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-03,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-03,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-03,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-03,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-03,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-03,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-03,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-03,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-03,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-03,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-03,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-03,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-03,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-03,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-03,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-03,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-03,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-03,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-03,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-03,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-02,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-02,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-02,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-02,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-02,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-02,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-02,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-02,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-02,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-02,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-02,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-02,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-02,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-02,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-02,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-02,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-02,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-02,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-02,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-02,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-02,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-02,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-02,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-02,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-02,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-02,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-02,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-02,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-02,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-02,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-02,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-02,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-02,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-02,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-01,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-01,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-01,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-01,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-01,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-01,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-01,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-01,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-01,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-01,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-01,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-01,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-01,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-01,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-01,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-01,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-01,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-01,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-01,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-01,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-01,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-01,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-01,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-01,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-01,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-01,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-01,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-01,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-01,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-01,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-01,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-01,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-01,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-01,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2022-12-31,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2022-12-31,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2022-12-31,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2022-12-31,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2022-12-31,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2022-12-31,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2022-12-31,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2022-12-31,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2022-12-31,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2022-12-31,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2022-12-31,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2022-12-31,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-31,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2022-12-31,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2022-12-31,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2022-12-31,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2022-12-31,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2022-12-31,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2022-12-31,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2022-12-31,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2022-12-31,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2022-12-31,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2022-12-31,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2022-12-31,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2022-12-31,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2022-12-31,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2022-12-31,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2022-12-31,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2022-12-31,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2022-12-31,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2022-12-31,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2022-12-31,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2022-12-31,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2022-12-31,Японская иена (JPY)
AUD,Австралийский доллар,48.5922,1,0.5113,2022-12-30,Австралийский доллар (AUD)
AZN,Азербайджанский манат,42.3399,1,0.3834,2022-12-30,Азербайджанский манат (AZN)
AMD,Армянский драм,18.2959,100,0.1592,2022-12-30,Армянский драм (AMD)
BYN,Белорусский рубль,26.3038,1,-0.0236,2022-12-30,Белорусский рубль (BYN)
BGN,Болгарский лев,39.0908,1,0.354,2022-12-30,Болгарский лев (BGN)
BRL,Бразильский реал,13.6495,1,0.1482,2022-12-30,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,86.6397,1,0.8344,2022-12-30,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,19.0538,100,0.2253,2022-12-30,Венгерский форинт (HUF)
DKK,Датская крона,10.2984,1,0.1087,2022-12-30,Датская крона (DKK)
USD,Доллар США,71.9778,1,0.6517,2022-12-30,Доллар США (USD)
EUR,Евро,76.0765,1,0.4165,2022-12-30,Евро (EUR)
INR,Индийская рупия,87.0686,100,0.8985,2022-12-30,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-30,Исландская крона (ISK)
KZT,Казахстанский тенге,15.6056,100,0.1208,2022-12-30,Казахстанский тенге (KZT)
CAD,Канадский доллар,53.0614,1,0.6273,2022-12-30,Канадский доллар (CAD)
KGS,Киргизский сом,84.0077,100,0.7606,2022-12-30,Киргизский сом (KGS)
CNY,Китайский юань,10.1306,1,-0.0163,2022-12-30,Китайский юань (CNY)
MDL,Молдавский лей,37.5591,10,0.4497,2022-12-30,Молдавский лей (MDL)
NOK,Норвежская крона,72.6388,10,0.0327,2022-12-30,Норвежская крона (NOK)
PLN,Польский злотый,16.3122,1,0.1487,2022-12-30,Польский злотый (PLN)
RON,Румынский лей,15.4788,1,0.1402,2022-12-30,Румынский лей (RON)
SGD,Сингапурский доллар,53.3841,1,0.4323,2022-12-30,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,95.7909,1,0.8673,2022-12-30,Специальные права заимствования (XDR)
TJS,Таджикский сомони,70.5582,10,0.6937,2022-12-30,Таджикский сомони (TJS)
TRY,Турецкая лира,38.4634,10,0.3172,2022-12-30,Турецкая лира (TRY)
TMT,Туркменский манат,20.5651,1,0.1862,2022-12-30,Туркменский манат (TMT)
UZS,Узбекский сум,64.2913,0,0.4363,2022-12-30,Узбекский сум (UZS)
UAH,Украинская гривна,19.4894,10,0.1764,2022-12-30,Украинская гривна (UAH)
CZK,Чешская крона,31.5747,10,0.3338,2022-12-30,Чешская крона (CZK)
SEK,Шведская крона,68.7152,10,0.4717,2022-12-30,Шведская крона (SEK)
CHF,Швейцарский франк,77.9487,1,1.2705,2022-12-30,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,42.3008,10,0.8271,2022-12-30,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,56.9219,0,0.6266,2022-12-30,Южнокорейская вона (KRW)
JPY,Японская иена,53.7028,100,0.4346,2022-12-30,Японская иена (JPY)
